INDEX_NAME,HistoricalDate,CLOSE
Nifty 50,01 Apr 2005,2067.65
Nifty 50,04 Apr 2005,2063.40
Nifty 50,05 Apr 2005,2052.55
Nifty 50,06 Apr 2005,2069.30
Nifty 50,07 Apr 2005,2052.85
Nifty 50,08 Apr 2005,2031.20
Nifty 50,11 Apr 2005,2008.20
Nifty 50,12 Apr 2005,2024.95
Nifty 50,13 Apr 2005,2025.45
Nifty 50,15 Apr 2005,1956.30
Nifty 50,18 Apr 2005,1927.80
Nifty 50,19 Apr 2005,1909.40
Nifty 50,20 Apr 2005,1929.70
Nifty 50,21 Apr 2005,1948.55
Nifty 50,22 Apr 2005,1967.35
Nifty 50,25 Apr 2005,1970.95
Nifty 50,26 Apr 2005,1957.10
Nifty 50,27 Apr 2005,1935.40
Nifty 50,28 Apr 2005,1941.30
Nifty 50,29 Apr 2005,1902.50
Nifty 50,02 May 2005,1916.75
Nifty 50,03 May 2005,1920.70
Nifty 50,04 May 2005,1942.60
Nifty 50,05 May 2005,1963.30
Nifty 50,06 May 2005,1977.50
Nifty 50,09 May 2005,2000.75
Nifty 50,10 May 2005,1994.30
Nifty 50,11 May 2005,1985.95
Nifty 50,12 May 2005,1993.15
Nifty 50,13 May 2005,1988.30
Nifty 50,16 May 2005,2012.60
Nifty 50,17 May 2005,1990.80
Nifty 50,18 May 2005,1982.75
Nifty 50,19 May 2005,1990.85
Nifty 50,20 May 2005,1992.40
Nifty 50,23 May 2005,2013.90
Nifty 50,24 May 2005,2028.60
Nifty 50,25 May 2005,2043.85
Nifty 50,26 May 2005,2074.70
Nifty 50,27 May 2005,2076.40
Nifty 50,30 May 2005,2072.40
Nifty 50,31 May 2005,2087.55
Nifty 50,01 Jun 2005,2087.55
Nifty 50,02 Jun 2005,2064.65
Nifty 50,03 Jun 2005,2094.25
Nifty 50,04 Jun 2005,2092.35
Nifty 50,06 Jun 2005,2092.80
Nifty 50,07 Jun 2005,2098.15
Nifty 50,08 Jun 2005,2112.40
Nifty 50,09 Jun 2005,2103.20
