INDEX_NAME,HistoricalDate,CLOSE
Nifty500 Momentum 50,01 Apr 2005,1000.00
Nifty500 Momentum 50,04 Apr 2005,1015.42
Nifty500 Momentum 50,05 Apr 2005,1008.76
Nifty500 Momentum 50,06 Apr 2005,1025.13
Nifty500 Momentum 50,07 Apr 2005,1019.09
Nifty500 Momentum 50,08 Apr 2005,1009.69
Nifty500 Momentum 50,11 Apr 2005,999.58
Nifty500 Momentum 50,12 Apr 2005,1005.32
Nifty500 Momentum 50,13 Apr 2005,1005.21
Nifty500 Momentum 50,15 Apr 2005,970.69
Nifty500 Momentum 50,18 Apr 2005,958.05
Nifty500 Momentum 50,19 Apr 2005,957.10
Nifty500 Momentum 50,20 Apr 2005,970.42
Nifty500 Momentum 50,21 Apr 2005,988.07
Nifty500 Momentum 50,22 Apr 2005,1011.97
Nifty500 Momentum 50,25 Apr 2005,1012.76
Nifty500 Momentum 50,26 Apr 2005,1008.01
Nifty500 Momentum 50,27 Apr 2005,1003.14
Nifty500 Momentum 50,28 Apr 2005,996.41
Nifty500 Momentum 50,29 Apr 2005,974.03
Nifty500 Momentum 50,02 May 2005,958.87
Nifty500 Momentum 50,03 May 2005,960.43
Nifty500 Momentum 50,04 May 2005,979.52
Nifty500 Momentum 50,05 May 2005,985.47
Nifty500 Momentum 50,06 May 2005,992.14
Nifty500 Momentum 50,09 May 2005,1010.83
Nifty500 Momentum 50,10 May 2005,1009.94
Nifty500 Momentum 50,11 May 2005,1013.55
Nifty500 Momentum 50,12 May 2005,1027.13
Nifty500 Momentum 50,13 May 2005,1036.11
Nifty500 Momentum 50,16 May 2005,1049.95
Nifty500 Momentum 50,17 May 2005,1037.93
Nifty500 Momentum 50,18 May 2005,1041.34
Nifty500 Momentum 50,19 May 2005,1052.37
Nifty500 Momentum 50,20 May 2005,1050.89
Nifty500 Momentum 50,23 May 2005,1058.17
Nifty500 Momentum 50,24 May 2005,1061.05
Nifty500 Momentum 50,25 May 2005,1061.22
Nifty500 Momentum 50,26 May 2005,1057.10
Nifty500 Momentum 50,27 May 2005,1048.25
Nifty500 Momentum 50,30 May 2005,1040.17
Nifty500 Momentum 50,31 May 2005,1047.16
Nifty500 Momentum 50,01 Jun 2005,1055.72
Nifty500 Momentum 50,02 Jun 2005,1049.68
Nifty500 Momentum 50,03 Jun 2005,1059.23
Nifty500 Momentum 50,04 Jun 2005,1067.25
Nifty500 Momentum 50,06 Jun 2005,1069.20
Nifty500 Momentum 50,07 Jun 2005,1068.22
Nifty500 Momentum 50,08 Jun 2005,1062.47
Nifty500 Momentum 50,09 Jun 2005,1067.09
Nifty500 Momentum 50,10 Jun 2005,1062.97
Nifty500 Momentum 50,13 Jun 2005,1060.26
Nifty500 Momentum 50,14 Jun 2005,1065.60
Nifty500 Momentum 50,15 Jun 2005,1073.81
Nifty500 Momentum 50,02 Jan 2006,1721.33
Nifty500 Momentum 50,03 Jan 2006,1743.55
Nifty500 Momentum 50,04 Jan 2006,1751.33
Nifty500 Momentum 50,05 Jan 2006,1743.47
Nifty500 Momentum 50,06 Jan 2006,1760.79
