INDEX_NAME,HistoricalDate,CLOSE
Nifty500 Multicap Momentum Quality 50,01 Apr 2005,1000.00
Nifty500 Multicap Momentum Quality 50,04 Apr 2005,1002.14
Nifty500 Multicap Momentum Quality 50,05 Apr 2005,987.79
Nifty500 Multicap Momentum Quality 50,06 Apr 2005,997.86
Nifty500 Multicap Momentum Quality 50,07 Apr 2005,996.71
Nifty500 Multicap Momentum Quality 50,08 Apr 2005,983.87
Nifty500 Multicap Momentum Quality 50,11 Apr 2005,978.93
Nifty500 Multicap Momentum Quality 50,12 Apr 2005,989.64
Nifty500 Multicap Momentum Quality 50,13 Apr 2005,990.52
Nifty500 Multicap Momentum Quality 50,15 Apr 2005,961.51
Nifty500 Multicap Momentum Quality 50,18 Apr 2005,948.31
Nifty500 Multicap Momentum Quality 50,19 Apr 2005,941.71
Nifty500 Multicap Momentum Quality 50,20 Apr 2005,952.62
Nifty500 Multicap Momentum Quality 50,21 Apr 2005,967.81
Nifty500 Multicap Momentum Quality 50,22 Apr 2005,984.51
Nifty500 Multicap Momentum Quality 50,25 Apr 2005,985.57
Nifty500 Multicap Momentum Quality 50,26 Apr 2005,985.48
Nifty500 Multicap Momentum Quality 50,27 Apr 2005,978.10
Nifty500 Multicap Momentum Quality 50,28 Apr 2005,977.67
Nifty500 Multicap Momentum Quality 50,29 Apr 2005,960.24
Nifty500 Multicap Momentum Quality 50,02 May 2005,959.50
Nifty500 Multicap Momentum Quality 50,03 May 2005,963.38
Nifty500 Multicap Momentum Quality 50,04 May 2005,975.95
Nifty500 Multicap Momentum Quality 50,05 May 2005,984.31
Nifty500 Multicap Momentum Quality 50,06 May 2005,986.14
Nifty500 Multicap Momentum Quality 50,09 May 2005,999.23
Nifty500 Multicap Momentum Quality 50,10 May 2005,995.77
Nifty500 Multicap Momentum Quality 50,11 May 2005,992.99
Nifty500 Multicap Momentum Quality 50,12 May 2005,996.46
Nifty500 Multicap Momentum Quality 50,13 May 2005,1000.32
Nifty500 Multicap Momentum Quality 50,16 May 2005,1010.64
Nifty500 Multicap Momentum Quality 50,17 May 2005,1003.53
Nifty500 Multicap Momentum Quality 50,18 May 2005,1002.87
Nifty500 Multicap Momentum Quality 50,19 May 2005,1010.99
Nifty500 Multicap Momentum Quality 50,20 May 2005,1006.42
Nifty500 Multicap Momentum Quality 50,23 May 2005,1008.69
Nifty500 Multicap Momentum Quality 50,24 May 2005,1016.03
Nifty500 Multicap Momentum Quality 50,25 May 2005,1019.81
Nifty500 Multicap Momentum Quality 50,26 May 2005,1024.46
Nifty500 Multicap Momentum Quality 50,27 May 2005,1022.08
Nifty500 Multicap Momentum Quality 50,30 May 2005,1015.29
Nifty500 Multicap Momentum Quality 50,31 May 2005,1025.40
Nifty500 Multicap Momentum Quality 50,01 Jun 2005,1024.06
Nifty500 Multicap Momentum Quality 50,02 Jun 2005,1013.44
Nifty500 Multicap Momentum Quality 50,03 Jun 2005,1018.61
Nifty500 Multicap Momentum Quality 50,04 Jun 2005,1024.03
Nifty500 Multicap Momentum Quality 50,06 Jun 2005,1021.33
Nifty500 Multicap Momentum Quality 50,07 Jun 2005,1022.89
Nifty500 Multicap Momentum Quality 50,08 Jun 2005,1023.31
Nifty500 Multicap Momentum Quality 50,09 Jun 2005,1022.51
Nifty500 Multicap Momentum Quality 50,10 Jun 2005,1017.59
Nifty500 Multicap Momentum Quality 50,13 Jun 2005,1013.63
Nifty500 Multicap Momentum Quality 50,14 Jun 2005,1021.13
Nifty500 Multicap Momentum Quality 50,15 Jun 2005,1028.57
Nifty500 Multicap Momentum Quality 50,16 Jun 2005,1019.62
Nifty500 Multicap Momentum Quality 50,17 Jun 2005,1010.58
Nifty500 Multicap Momentum Quality 50,20 Jun 2005,1007.53
Nifty500 Multicap Momentum Quality 50,21 Jun 2005,1011.45
Nifty500 Multicap Momentum Quality 50,22 Jun 2005,1010.82
Nifty500 Multicap Momentum Quality 50,23 Jun 2005,1013.55
Nifty500 Multicap Momentum Quality 50,24 Jun 2005,1018.13
Nifty500 Multicap Momentum Quality 50,27 Jun 2005,1019.84
Nifty500 Multicap Momentum Quality 50,28 Jun 2005,1004.50
Nifty500 Multicap Momentum Quality 50,29 Jun 2005,1010.84
Nifty500 Multicap Momentum Quality 50,30 Jun 2005,1014.10
Nifty500 Multicap Momentum Quality 50,01 Jul 2005,1025.46
Nifty500 Multicap Momentum Quality 50,04 Jul 2005,1040.09
Nifty500 Multicap Momentum Quality 50,05 Jul 2005,1040.82
Nifty500 Multicap Momentum Quality 50,06 Jul 2005,1057.31
Nifty500 Multicap Momentum Quality 50,07 Jul 2005,1051.27
Nifty500 Multicap Momentum Quality 50,08 Jul 2005,1070.77
Nifty500 Multicap Momentum Quality 50,11 Jul 2005,1085.95
Nifty500 Multicap Momentum Quality 50,12 Jul 2005,1081.24
Nifty500 Multicap Momentum Quality 50,13 Jul 2005,1088.68
Nifty500 Multicap Momentum Quality 50,14 Jul 2005,1083.43
Nifty500 Multicap Momentum Quality 50,15 Jul 2005,1096.07
Nifty500 Multicap Momentum Quality 50,18 Jul 2005,1111.50
Nifty500 Multicap Momentum Quality 50,19 Jul 2005,1115.57
Nifty500 Multicap Momentum Quality 50,20 Jul 2005,1123.01
Nifty500 Multicap Momentum Quality 50,21 Jul 2005,1121.42
Nifty500 Multicap Momentum Quality 50,22 Jul 2005,1131.75
Nifty500 Multicap Momentum Quality 50,25 Jul 2005,1142.79
Nifty500 Multicap Momentum Quality 50,26 Jul 2005,1144.46
Nifty500 Multicap Momentum Quality 50,27 Jul 2005,1146.58
Nifty500 Multicap Momentum Quality 50,29 Jul 2005,1136.31
Nifty500 Multicap Momentum Quality 50,01 Aug 2005,1141.49
Nifty500 Multicap Momentum Quality 50,02 Aug 2005,1161.35
Nifty500 Multicap Momentum Quality 50,03 Aug 2005,1174.18
Nifty500 Multicap Momentum Quality 50,04 Aug 2005,1185.56
Nifty500 Multicap Momentum Quality 50,05 Aug 2005,1192.58
Nifty500 Multicap Momentum Quality 50,08 Aug 2005,1180.52
Nifty500 Multicap Momentum Quality 50,09 Aug 2005,1180.42
Nifty500 Multicap Momentum Quality 50,10 Aug 2005,1208.30
Nifty500 Multicap Momentum Quality 50,11 Aug 2005,1216.42
Nifty500 Multicap Momentum Quality 50,12 Aug 2005,1219.45
Nifty500 Multicap Momentum Quality 50,16 Aug 2005,1226.64
Nifty500 Multicap Momentum Quality 50,17 Aug 2005,1235.93
Nifty500 Multicap Momentum Quality 50,18 Aug 2005,1228.12
Nifty500 Multicap Momentum Quality 50,19 Aug 2005,1227.13
Nifty500 Multicap Momentum Quality 50,22 Aug 2005,1225.56
Nifty500 Multicap Momentum Quality 50,23 Aug 2005,1195.89
Nifty500 Multicap Momentum Quality 50,24 Aug 2005,1176.60
Nifty500 Multicap Momentum Quality 50,25 Aug 2005,1193.14
Nifty500 Multicap Momentum Quality 50,26 Aug 2005,1207.90
Nifty500 Multicap Momentum Quality 50,29 Aug 2005,1200.64
