Index Name,Date,Close
NIFTY500 VALUE 50,01 Apr 2005,1000.00
NIFTY500 VALUE 50,04 Apr 2005,994.18
NIFTY500 VALUE 50,05 Apr 2005,980.92
NIFTY500 VALUE 50,06 Apr 2005,1001.34
NIFTY500 VALUE 50,07 Apr 2005,1001.88
NIFTY500 VALUE 50,08 Apr 2005,996.57
NIFTY500 VALUE 50,11 Apr 2005,990.16
NIFTY500 VALUE 50,12 Apr 2005,996.60
NIFTY500 VALUE 50,13 Apr 2005,997.50
NIFTY500 VALUE 50,15 Apr 2005,971.11
NIFTY500 VALUE 50,18 Apr 2005,965.13
NIFTY500 VALUE 50,19 Apr 2005,955.63
NIFTY500 VALUE 50,20 Apr 2005,960.54
NIFTY500 VALUE 50,21 Apr 2005,973.16
NIFTY500 VALUE 50,22 Apr 2005,975.25
NIFTY500 VALUE 50,25 Apr 2005,984.12
NIFTY500 VALUE 50,26 Apr 2005,988.22
NIFTY500 VALUE 50,27 Apr 2005,974.97
NIFTY500 VALUE 50,28 Apr 2005,962.25
NIFTY500 VALUE 50,29 Apr 2005,944.49
NIFTY500 VALUE 50,02 May 2005,947.29
NIFTY500 VALUE 50,03 May 2005,948.69
NIFTY500 VALUE 50,04 May 2005,961.48
NIFTY500 VALUE 50,05 May 2005,982.10
NIFTY500 VALUE 50,06 May 2005,986.65
NIFTY500 VALUE 50,09 May 2005,997.71
NIFTY500 VALUE 50,10 May 2005,991.97
NIFTY500 VALUE 50,11 May 2005,990.92
NIFTY500 VALUE 50,12 May 2005,1004.58
NIFTY500 VALUE 50,13 May 2005,1008.99
NIFTY500 VALUE 50,16 May 2005,1026.43
NIFTY500 VALUE 50,17 May 2005,1015.06
NIFTY500 VALUE 50,18 May 2005,1017.42
NIFTY500 VALUE 50,19 May 2005,1027.63
NIFTY500 VALUE 50,20 May 2005,1030.85
NIFTY500 VALUE 50,23 May 2005,1040.52
NIFTY500 VALUE 50,24 May 2005,1044.73
NIFTY500 VALUE 50,25 May 2005,1048.47
NIFTY500 VALUE 50,26 May 2005,1037.72
NIFTY500 VALUE 50,27 May 2005,1040.23
NIFTY500 VALUE 50,30 May 2005,1034.72
NIFTY500 VALUE 50,31 May 2005,1040.17
NIFTY500 VALUE 50,01 Jun 2005,1042.61
NIFTY500 VALUE 50,02 Jun 2005,1037.66
NIFTY500 VALUE 50,03 Jun 2005,1046.84
NIFTY500 VALUE 50,04 Jun 2005,1055.15
NIFTY500 VALUE 50,06 Jun 2005,1054.08
NIFTY500 VALUE 50,07 Jun 2005,1070.22
NIFTY500 VALUE 50,08 Jun 2005,1080.94
NIFTY500 VALUE 50,09 Jun 2005,1084.27
NIFTY500 VALUE 50,10 Jun 2005,1072.36
NIFTY500 VALUE 50,13 Jun 2005,1069.96
NIFTY500 VALUE 50,14 Jun 2005,1070.85
NIFTY500 VALUE 50,15 Jun 2005,1070.20
NIFTY500 VALUE 50,16 Jun 2005,1049.58
NIFTY500 VALUE 50,17 Jun 2005,1036.07
NIFTY500 VALUE 50,20 Jun 2005,1027.78
NIFTY500 VALUE 50,21 Jun 2005,1026.43
NIFTY500 VALUE 50,22 Jun 2005,1021.21
NIFTY500 VALUE 50,23 Jun 2005,1029.06
NIFTY500 VALUE 50,24 Jun 2005,1030.80
NIFTY500 VALUE 50,27 Jun 2005,1031.95
NIFTY500 VALUE 50,28 Jun 2005,1014.29
NIFTY500 VALUE 50,29 Jun 2005,1019.19
NIFTY500 VALUE 50,30 Jun 2005,1010.75
NIFTY500 VALUE 50,01 Jul 2005,1026.77
NIFTY500 VALUE 50,04 Jul 2005,1041.14
NIFTY500 VALUE 50,05 Jul 2005,1035.17
NIFTY500 VALUE 50,06 Jul 2005,1054.79
NIFTY500 VALUE 50,07 Jul 2005,1036.61
NIFTY500 VALUE 50,08 Jul 2005,1051.43
NIFTY500 VALUE 50,11 Jul 2005,1065.32
NIFTY500 VALUE 50,12 Jul 2005,1071.71
NIFTY500 VALUE 50,13 Jul 2005,1081.35
NIFTY500 VALUE 50,14 Jul 2005,1077.32
NIFTY500 VALUE 50,15 Jul 2005,1090.47
NIFTY500 VALUE 50,18 Jul 2005,1116.50
NIFTY500 VALUE 50,19 Jul 2005,1126.24
NIFTY500 VALUE 50,20 Jul 2005,1134.72
NIFTY500 VALUE 50,21 Jul 2005,1126.64
NIFTY500 VALUE 50,22 Jul 2005,1143.38
NIFTY500 VALUE 50,25 Jul 2005,1140.53
NIFTY500 VALUE 50,26 Jul 2005,1136.39
NIFTY500 VALUE 50,27 Jul 2005,1135.39
NIFTY500 VALUE 50,29 Jul 2005,1123.39
NIFTY500 VALUE 50,01 Aug 2005,1129.33
NIFTY500 VALUE 50,02 Aug 2005,1157.25
NIFTY500 VALUE 50,03 Aug 2005,1154.77
NIFTY500 VALUE 50,04 Aug 2005,1156.66
NIFTY500 VALUE 50,05 Aug 2005,1164.41
NIFTY500 VALUE 50,08 Aug 2005,1144.14
NIFTY500 VALUE 50,09 Aug 2005,1133.49
NIFTY500 VALUE 50,10 Aug 2005,1157.29
NIFTY500 VALUE 50,11 Aug 2005,1164.31
NIFTY500 VALUE 50,12 Aug 2005,1158.35
NIFTY500 VALUE 50,16 Aug 2005,1166.58
NIFTY500 VALUE 50,17 Aug 2005,1179.37
NIFTY500 VALUE 50,18 Aug 2005,1171.63
NIFTY500 VALUE 50,19 Aug 2005,1168.88
NIFTY500 VALUE 50,22 Aug 2005,1175.38
NIFTY500 VALUE 50,23 Aug 2005,1145.79
